cod_ibge,cod_mun6,nome_mun,ano,pop,casos
3528403,352840,Mairinque,2014,45703,40
3528502,352850,Mairiporã,2014,85599,4818
3528601,352860,Manduri,2014,9325,0
3528700,352870,Marabá Paulista,2014,4742,5
3528809,352880,Maracaí,2014,13177,36
3528858,352885,Marapoama,2014,2855,0
3528908,352890,Mariápolis,2014,3802,38
3529005,352900,Marília,2014,224136,1771
3529104,352910,Marinópolis,2014,2058,6
3529203,352920,Martinópolis,2014,24533,25
3529302,352930,Matão,2014,77958,218
3529401,352940,Mauá,2014,419449,94
3529500,352950,Mendonça,2014,5125,20
3529609,352960,Meridiano,2014,4113,22
3529658,352965,Mesópolis,2014,1901,6
3529708,352970,Miguelópolis,2014,20273,11
3529807,352980,Mineiros do Tietê,2014,11863,156
3529906,352990,Miracatu,2014,20024,15
3530003,353000,Mira Estrela,2014,2919,18
3530102,353010,Mirandópolis,2014,27856,135
3530201,353020,Mirante do Paranapanema,2014,16872,56
3530300,353030,Mirassol,2014,57028,34
3530409,353040,Mirassolândia,2014,4406,0
3530508,353050,Mococa,2014,67101,459
3530607,353060,Mogi das Cruzes,2014,409780,118
3530706,353070,Mogi Guaçu,2014,143246,1180
3530805,353080,Mogi Mirim,2014,89010,1117
3530904,353090,Mombuca,2014,3422,1
3531001,353100,Monções,2014,2087,9
3531100,353110,Mongaguá,2014,51641,290
3531209,353120,Monte Alegre do Sul,2014,7687,10
3531308,353130,Monte Alto,2014,47182,25
3531407,353140,Monte Aprazível,2014,21998,118
3531506,353150,Monte Azul Paulista,2014,18776,29
3531605,353160,Monte Castelo,2014,4116,7
3531704,353170,Monteiro Lobato,2014,4158,5
3531803,353180,Monte Mor,2014,54189,355
3531902,353190,Morro Agudo,2014,29014,21
3532009,353200,Morungaba,2014,12470,9
3532058,353205,Motuca,2014,4203,43
3532108,353210,Murutinga do Sul,2014,4059,5
3532157,353215,Nantes,2014,2707,0
3532207,353220,Narandiba,2014,4771,18
3532306,353230,Natividade da Serra,2014,6806,27
3532405,353240,Nazaré Paulista,2014,17111,26
3532504,353250,Neves Paulista,2014,9089,12
3532603,353260,Nhandeara,2014,10486,84
3532702,353270,Nipoã,2014,4430,6
3532801,353280,Nova Aliança,2014,6151,7
3532827,353282,Nova Campina,2014,8511,1
3532843,353284,Nova Canaã Paulista,2014,2091,5
3532868,353286,Nova Castilho,2014,1119,1
3532900,353290,Nova Europa,2014,9367,26
3533007,353300,Nova Granada,2014,19299,1
